Month,Elements,Task
Jan-26,Talent Acquisition ,Manpower Planning
,,Freeze JD / KRA / KPI
,,Freeze Recruitment Process
,,Recruitment (Marketing SR / Sales SR / Product SR+ITR+JR2 / R&D ITR / HR ITR / IT JR / FIN JR
,Onboarding & Induction Module,As and when - based on New hires
,HR Policy Setting,Complete the policy
,Performance Management Module,N/A
,Learning & Development (L&D),N/A
,Employee engagement and recognition programs,Monthly event
,HR Operations Module,"Organizational Survey / Brainstorming sessions
Compliance Outsourced
Attendance system - ESSL / etc"
Feb-26,Talent Acquisition ,Recruitment (Product JR6 / R&D ITR)
,Onboarding & Induction Module,As and when - based on New hires
,HR Policy Setting,Done
,Performance Management Module,N/A
,Learning & Development (L&D),N/A
,Employee engagement and recognition programs,Monthly Event
,HR Operations Module,"Organizational Survey / Brainstorming sessions
As and when required on Grievance handling, compliance issues etc"
Mar-26,Talent Acquisition ,Recruitment (All the remaining positions)
,Onboarding & Induction Module,As and when - based on New hires
,HR Policy Setting,Done
,Performance Management Module,N/A
,Learning & Development (L&D),N/A
,Employee engagement and recognition programs,Monthly Event
,HR Operations Module,"Organizational Survey / Brainstorming sessions
As and when required on Grievance handling, compliance issues etc"
Apr-26,Talent Acquisition ,Replacement if required
,Onboarding & Induction Module,As and when - based on New hires
,HR Policy Setting,Done
,Performance Management Module,"360 Degree Feedback (No apraisals will be due)
Lay down Incentive plans "
,Learning & Development (L&D),Initiate Quarterly Training (Inhouse - Functional + 1 Outsourced at Organizational level)
,Employee engagement and recognition programs,Monthly Event
,HR Operations Module,"Initiate Rewards and Recognition
Organizational Survey / Brainstorming sessions
As and when required "
May-26,Talent Acquisition ,Replacement if required
,Onboarding & Induction Module,As and when - based on New hires
,HR Policy Setting,Done
,Performance Management Module,Done
,Learning & Development (L&D),2 Hours mandatory training for each employee
,Employee engagement and recognition programs,Monthly event
,HR Operations Module,"Rewards and Recognition
Organizational Survey / Brainstorming sessions
As and when required "
Jun-26,Talent Acquisition ,Replacement if required
,Onboarding & Induction Module,As and when - based on New hires
,HR Policy Setting,Done
,Performance Management Module,Done
,Learning & Development (L&D),2 Hours mandatory training for each employee
,Employee engagement and recognition programs,Monthly event
,HR Operations Module,"Rewards and Recognition
Organizational Survey / Brainstorming sessions
As and when required "
Jul-26,Talent Acquisition ,Replacement if required
,Onboarding & Induction Module,As and when - based on New hires
,HR Policy Setting,Done
,Performance Management Module,Done
,Learning & Development (L&D),2 Hours mandatory training for each employee
,Employee engagement and recognition programs,Monthly event
,HR Operations Module,"Rewards and Recognition
Organizational Survey / Brainstorming sessions
As and when required "
Aug-26,Talent Acquisition ,Replacement if required
,Onboarding & Induction Module,As and when - based on New hires
,HR Policy Setting,Done
,Performance Management Module,Done
,Learning & Development (L&D),2 Hours mandatory training for each employee
,Employee engagement and recognition programs,Monthly event
,HR Operations Module,"Rewards and Recognition
Organizational Survey / Brainstorming sessions
As and when required "
Sep-26,Talent Acquisition ,Replacement if required
,Onboarding & Induction Module,As and when - based on New hires
,HR Policy Setting,Done
,Performance Management Module,Done
,Learning & Development (L&D),2 Hours mandatory training for each employee
,Employee engagement and recognition programs,Monthly event
,HR Operations Module,"Rewards and Recognition
Organizational Survey / Brainstorming sessions
As and when required "
Oct-26,Talent Acquisition ,Replacement if required
,Onboarding & Induction Module,As and when - based on New hires
,HR Policy Setting,Done
,Performance Management Module,Done
,Learning & Development (L&D),2 Hours mandatory training for each employee
,Employee engagement and recognition programs,Monthly event
,HR Operations Module,"Rewards and Recognition
Organizational Survey / Brainstorming sessions
As and when required "
Nov-26,Talent Acquisition ,Replacement if required
,Onboarding & Induction Module,As and when - based on New hires
,HR Policy Setting,Done
,Performance Management Module,Done
,Learning & Development (L&D),2 Hours mandatory training for each employee
,Employee engagement and recognition programs,Monthly event
,HR Operations Module,"Rewards and Recognition
Organizational Survey / Brainstorming sessions
As and when required "
Dec-26,Talent Acquisition ,Replacement if required
,Onboarding & Induction Module,As and when - based on New hires
,HR Policy Setting,Done
,Performance Management Module,Done
,Learning & Development (L&D),2 Hours mandatory training for each employee
,Employee engagement and recognition programs,Annual Function
,HR Operations Module,"Rewards and Recognition
Organizational Survey / Brainstorming sessions
As and when required "
