Team,Element,Task (what is delivered that month),Monthly Quantifiable or not (To measure outcome),Monthly Task,Month
Research,Monthly Pack (M1),"Base Month
• Competitor SKU & launch tracker (continuous): Advertising & campaign activity snapshot, Festive offers
Recent developments, Other key trends
• Pricing baseline / Snapshot: Pricing Snapshot (Top Changes / Movements across companies); 
• Sales Channel-wise performance pulse (D2C / marketplace / Q-commerce / offline)",NA,NA,Jan
,Monthly Pack (M2),"Consumer & Ingredient Focus (while all baseline tracking continues): 
• Ingredient & format signal tracker (rising/declining) 
• Consumer demand & sentiment cues 
• Competitor strategic moves (portfolio, funding, pricing resets)",NA,NA,Feb
,Quarterly + Monthly,"Deliver Q1 datasets: market size & sales dataset cuts (Product/Ingredient/Format), 
Global vs India benchmarks
Sales Channel dashboards
Competitor Pricing & Promotions + macro shifts / sentiment / Ayurveda×clinical narrative / ingredient megatrends.",NA,NA,Mar (Q1)
,Monthly Pack (M4),"• Sales Channel Dashboard Snapshot (key changes only)
• Recent Developments Across Competitiors
• Price Trends /  Changes (top SKUs/brands); 
• New ingredient/claim callouts captured in market",NA,NA,Apr
,Monthly Pack (M5),"Monthly Refresh: 
• Ingredient preference signals / Insights Dashboard, 
• Claims Language Shifts, “mainstream vs rising” update; 
• shortlist of “watch” ingredients/formats.
• New product/format additions (kits/bundles/minis)",NA,NA,May
,Quarterly + Monthly,"Deliver Q1 datasets: market size & sales dataset cuts (Product/Ingredient/Format), 
• Global vs India benchmarks
• Sales Channel dashboards / Pricing Dashboards
• Competitor Pricing & Promotions + macro shifts / sentiment /  Ayurveda×clinical narrative / ingredient megatrends.",NA,NA,Jun (Q2)
,Monthly Pack (M7),"Mid-Year Reset: 
• Post-Q2 change log (what accelerated / slowed) 
• Ingredient adoption momentum Check Insights
• Sales Channel performance Insights: Winners/Laggards",NA,NA,Jul
,Monthly Pack (M8),"Consumer & Spend Pulse: 
• Consumer concerns & spend cues (pre-festive) 
• SKU-level pricing / promos movements 
• Ingredient & format tracker refresh",NA,NA,Aug
,Quarterly + Monthly,"• Deliver Q3 full pack: updated datasets + dashboards as in Q2 + 
• pricing/promos trends in last quarter + 
• quarterly trend storylines (what’s now “default” vs “next-wave”). 
• Festive build-up pricing & promo strategies",NA,NA,Sep (Q3)
,Monthly Pack (M10),"Festive Intelligence Month: 
• Sales & pricing Datasets +
• Festive pricing, offers & bundles 
• Kit / gifting strategy deep dive 
• Ingredient & claim themes in festive campaigns",NA,NA,Oct
,Monthly Pack (M11),"Deep-Dive Month (one agreed theme): 
• Ingredients OR formats OR channel economics 
• Performance comparison vs prior quarters 
• Implications drawn from year-to-date data
• Narrative: Ingredients, Formats, or Channel economics/pricing",NA,NA,Nov
,Quarterly + Annual Wrap,"• Q4 + Annual Consolidation: 
• Q4 datasets & dashboards 
• Year-end pricing & promo summary 
• Ingredient & format shifts across the year 
• Winners/losers + next-year watchlist",NA,NA,Dec (Q4)
